tier,domain,name,posts,in_measured,in_dealgong,robots_status,crawl_allowed,note
T4,fit2run.com,Fit2Run,1,1,0,200,YES,"allowed:/sale,/clearance"
T4,harmanaudio.com,Harmanaudio,1,1,0,200,YES,"allowed:/sale,/clearance"
T4,hmall.com,Hmall,1,1,0,200,NO,disallow all
T4,huckberry.com,Huckberry,1,1,0,200(browser),YES,"allowed:/sale,/clearance"
T4,itsdcode.com,Itsdcode,1,1,0,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T4,jigooinshop.com,Jigooinshop,1,1,0,200,YES,"allowed:/sale,/clearance"
T4,khakis2020.com,Khakis2020,1,1,0,200,YES,"allowed:/sale,/clearance"
T4,kolonmall.com,Kolonmall,1,1,0,200,YES,"allowed:/sale,/clearance"
T4,kolonsaveplaza.com,Kolonsaveplaza,1,1,0,200,YES,"allowed:/sale,/clearance"
T4,logitechg.com,Logitechg,1,1,0,200,YES,"allowed:/sale,/clearance"
T4,lululemon.com,Lululemon,1,1,1,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T4,maisonkitsune.com,Maisonkitsune,1,1,0,200,YES,"allowed:/sale,/clearance"
T4,marathonsports.com,Marathonsports,1,1,0,200,YES,"allowed:/sale,/clearance"
T4,marmot.com,Marmot,1,1,0,200,YES,"allowed:/sale,/clearance"
T4,morningsave.com,Morningsave,1,1,0,200,YES,"allowed:/sale,/clearance"
T4,muckbootcompany.com,Muckbootcompany,1,1,0,200,YES,"allowed:/sale,/clearance"
T4,neimanmarcus.com,Neiman Marcus,1,1,1,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T4,oakley.com,Oakley,1,1,0,200,YES,"allowed:/sale,/clearance"
T4,ocokorea.com,Ocokorea,1,1,0,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T4,on.com,On,1,1,0,200,YES,"allowed:/sale,/clearance"
T4,onenessboutique.com,Onenessboutique,1,1,0,200,YES,"allowed:/sale,/clearance"
T4,patagonia.com,Patagonia,1,1,0,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T4,proozy.com,Proozy,1,1,1,200,YES,"allowed:/sale,/clearance"
T4,rag-bone.com,Rag & Bone,1,1,1,200,YES,"allowed:/sale,/clearance"
T4,rockport.com,Rockport,1,1,0,200,YES,"allowed:/sale,/clearance"
T4,scheels.com,Scheels,1,1,0,200,YES,"allowed:/sale,/clearance"
T4,secondipity.com,Secondipity,1,1,0,200,YES,"allowed:/sale,/clearance"
T4,seorinexpress.com,Seorinexpress,1,1,0,200,YES,"allowed:/sale,/clearance"
